[[974.4625954198475], [3303.451016635859], [1.0]]
[[964.2671755725194], [3299.064695009242], [1.0]]
[[946.7893129770994], [3294.6783733826246], [1.0]]
[[929.3114503816795], [3290.2920517560074], [1.0]]
[[919.1160305343511], [3281.519408502773], [1.0]]
[[906.0076335877862], [3277.1330868761547], [1.0]]
[[898.7251908396948], [3268.3604436229202], [1.0]]
[[888.5297709923665], [3268.3604436229202], [1.0]]
[[860.8564885496186], [452.3419593345657], [1.0]]
[[865.2259541984735], [439.1829944547135], [1.0]]
[[875.4213740458016], [443.56931608133095], [1.0]]
[[881.2473282442749], [434.796672828096], [1.0]]
[[865.2259541984735], [3259.5878003696857], [1.0]]
[[855.0305343511451], [3259.5878003696857], [1.0]]
[[844.835114503817], [3263.974121996303], [1.0]]
[[839.0091603053437], [3268.3604436229202], [1.0]]
[[833.1832061068704], [3268.3604436229202], [1.0]]
[[828.8137404580153], [3259.5878003696857], [1.0]]
[[825.9007633587788], [3259.5878003696857], [1.0]]
[[824.4442748091604], [3259.5878003696857], [1.0]]
[[820.0748091603056], [3268.3604436229202], [1.0]]
[[814.2488549618323], [3259.5878003696857], [1.0]]
[[806.9664122137407], [3250.815157116451], [1.0]]
[[799.683969465649], [3246.4288354898335], [1.0]]
[[785.1190839694658], [3237.6561922365986], [1.0]]
[[773.4671755725193], [3233.2698706099814], [1.0]]
[[764.7282442748092], [3224.497227356747], [1.0]]
[[1000.6793893129772], [426.0240295748613], [1.0]]
[[738.5114503816794], [3202.5656192236597], [1.0]]
[[729.7725190839694], [3189.4066543438075], [1.0]]
[[718.1206106870229], [3189.4066543438075], [1.0]]
[[713.751145038168], [3185.0203327171903], [1.0]]
[[1037.0916030534352], [430.41035120147876], [1.0]]
[[1044.374045801527], [421.63770794824404], [1.0]]
[[1047.2870229007633], [417.25138632162657], [1.0]]
[[1050.2], [417.25138632162657], [1.0]]
[[1051.6564885496184], [412.8650646950093], [1.0]]
[[1056.0259541984735], [408.47874306839185], [1.0]]
[[649.665648854962], [3180.634011090573], [1.0]]
[[1060.3954198473282], [421.63770794824404], [1.0]]
[[614.7099236641222], [3193.7929759704252], [1.0]]
[[603.0580152671757], [3202.5656192236597], [1.0]]
[[594.3190839694657], [3220.110905730129], [1.0]]
[[572.4717557251909], [3224.497227356747], [1.0]]
[[565.1893129770995], [3233.2698706099814], [1.0]]
[[554.9938931297711], [3237.6561922365986], [1.0]]
[[541.8854961832062], [3246.4288354898335], [1.0]]
[[536.059541984733], [3250.815157116451], [1.0]]
[[531.6900763358781], [3250.815157116451], [1.0]]
[[528.7770992366413], [3259.5878003696857], [1.0]]
[[527.320610687023], [3263.974121996303], [1.0]]
