[[585.580152671756], [566.3863216266172], [1.0]]
[[589.9496183206109], [575.158964879852], [1.0]]
[[592.8625954198476], [570.7726432532347], [1.0]]
[[595.7755725190841], [566.3863216266172], [1.0]]
[[603.0580152671757], [562.0], [1.0]]
[[608.883969465649], [562.0], [1.0]]
[[613.2534351145039], [557.6136783733825], [1.0]]
[[616.1664122137406], [557.6136783733825], [1.0]]
[[617.622900763359], [553.2273567467653], [1.0]]
[[623.4488549618322], [548.8410351201478], [1.0]]
[[627.8183206106871], [544.4547134935306], [1.0]]
[[629.2748091603055], [544.4547134935306], [1.0]]
[[635.1007633587787], [548.8410351201478], [1.0]]
[[642.3832061068704], [548.8410351201478], [1.0]]
[[648.2091603053436], [548.8410351201478], [1.0]]
[[655.4916030534353], [548.8410351201478], [1.0]]
[[661.3175572519085], [548.8410351201478], [1.0]]
[[667.1435114503818], [544.4547134935306], [1.0]]
[[668.6000000000001], [540.0683918669131], [1.0]]
[[671.5129770992369], [544.4547134935306], [1.0]]
[[672.969465648855], [544.4547134935306], [1.0]]
[[674.4259541984734], [544.4547134935306], [1.0]]
[[675.8824427480918], [535.6820702402956], [1.0]]
[[678.7954198473283], [531.2957486136784], [1.0]]
[[680.2519083969466], [526.9094269870609], [1.0]]
[[683.1648854961834], [526.9094269870609], [1.0]]
[[686.0778625954199], [522.5231053604437], [1.0]]
[[687.5343511450383], [518.1367837338262], [1.0]]
[[690.447328244275], [509.36414048059146], [1.0]]
[[693.3603053435115], [504.977818853974], [1.0]]
[[694.8167938931299], [491.818853974122], [1.0]]
[[699.1862595419848], [491.818853974122], [1.0]]
[[702.0992366412215], [487.43253234750455], [1.0]]
[[705.012213740458], [483.0462107208873], [1.0]]
[[1005.0488549618321], [3277.1330868761547], [1.0]]
[[977.3755725190842], [3272.7467652495375], [1.0]]
[[930.7679389312979], [3268.3604436229202], [1.0]]
[[939.5068702290076], [3259.5878003696857], [1.0]]
[[939.5068702290076], [3250.815157116451], [1.0]]
[[940.963358778626], [3255.2014787430685], [1.0]]
[[722.490076335878], [478.65988909426983], [1.0]]
[[725.4030534351145], [474.27356746765236], [1.0]]
[[726.8595419847329], [478.65988909426983], [1.0]]
[[728.3160305343513], [474.27356746765236], [1.0]]
[[729.7725190839697], [478.65988909426983], [1.0]]
[[731.2290076335878], [478.65988909426983], [1.0]]
[[734.1419847328245], [474.27356746765236], [1.0]]
[[737.0549618320613], [474.27356746765236], [1.0]]
[[742.8809160305345], [474.27356746765236], [1.0]]
[[747.2503816793894], [483.0462107208873], [1.0]]
[[757.4458015267176], [478.65988909426983], [1.0]]
[[763.271755725191], [469.8872458410351], [1.0]]
[[773.4671755725193], [474.27356746765236], [1.0]]
[[782.2061068702293], [456.7282809611829], [1.0]]
[[792.4015267175574], [447.9556377079482], [1.0]]
[[798.2274809160307], [443.56931608133095], [1.0]]
[[809.8793893129772], [443.56931608133095], [1.0]]
[[824.4442748091604], [443.56931608133095], [1.0]]
[[831.7267175572521], [452.3419593345657], [1.0]]
[[834.6396946564888], [452.3419593345657], [1.0]]
[[841.9221374045802], [452.3419593345657], [1.0]]
[[849.2045801526718], [452.3419593345657], [1.0]]
[[855.0305343511451], [443.56931608133095], [1.0]]
[[879.7908396946565], [3259.5878003696857], [1.0]]
[[871.0519083969467], [3259.5878003696857], [1.0]]
[[868.13893129771], [3250.815157116451], [1.0]]
[[866.6824427480916], [3255.2014787430685], [1.0]]
[[891.4427480916032], [434.796672828096], [1.0]]
[[901.6381679389314], [430.41035120147876], [1.0]]
[[911.8335877862597], [426.0240295748613], [1.0]]
[[923.4854961832062], [430.41035120147876], [1.0]]
[[935.1374045801527], [430.41035120147876], [1.0]]
[[945.3328244274811], [439.1829944547135], [1.0]]
[[951.1587786259544], [434.796672828096], [1.0]]
[[954.0717557251909], [430.41035120147876], [1.0]]
[[955.5282442748093], [434.796672828096], [1.0]]
[[962.8106870229009], [430.41035120147876], [1.0]]
[[973.006106870229], [434.796672828096], [1.0]]
[[980.2885496183206], [421.63770794824404], [1.0]]
[[984.6580152671758], [421.63770794824404], [1.0]]
[[990.483969465649], [426.0240295748613], [1.0]]
[[996.3099236641223], [426.0240295748613], [1.0]]
[[748.7068702290078], [3211.3382624768947], [1.0]]
[[1012.3312977099237], [430.41035120147876], [1.0]]
[[1015.2442748091604], [434.796672828096], [1.0]]
[[1022.526717557252], [434.796672828096], [1.0]]
[[1021.0702290076337], [426.0240295748613], [1.0]]
[[700.6427480916032], [3176.2476894639553], [1.0]]
[[693.3603053435115], [3171.861367837338], [1.0]]
[[683.1648854961834], [3171.861367837338], [1.0]]
[[671.5129770992367], [3171.861367837338], [1.0]]
[[691.9038167938932], [3176.2476894639553], [1.0]]
[[667.1435114503818], [3171.861367837338], [1.0]]
[[1058.9389312977098], [421.63770794824404], [1.0]]
[[624.9053435114504], [3189.4066543438075], [1.0]]
[[1060.3954198473282], [426.0240295748613], [1.0]]
[[1064.7648854961833], [426.0240295748613], [1.0]]
[[1064.7648854961833], [426.0240295748613], [1.0]]
[[1067.67786259542], [421.63770794824404], [1.0]]
[[1067.67786259542], [417.25138632162657], [1.0]]
[[1069.1343511450384], [412.8650646950093], [1.0]]
[[1072.0473282442747], [417.25138632162657], [1.0]]
[[1072.0473282442747], [421.63770794824404], [1.0]]
[[1070.5908396946568], [426.0240295748613], [1.0]]
[[1072.0473282442747], [430.41035120147876], [1.0]]
[[1096.8076335877865], [426.0240295748613], [1.0]]
[[1101.1770992366412], [421.63770794824404], [1.0]]
[[1101.1770992366412], [426.0240295748613], [1.0]]
[[1102.6335877862596], [421.63770794824404], [1.0]]
[[1102.6335877862596], [417.25138632162657], [1.0]]
[[1102.6335877862596], [408.47874306839185], [1.0]]
[[1102.6335877862596], [408.47874306839185], [1.0]]
[[1102.6335877862596], [408.47874306839185], [1.0]]
[[1102.6335877862596], [408.47874306839185], [1.0]]
[[1099.7206106870228], [404.0924214417746], [1.0]]
[[1098.2641221374045], [399.70609981515713], [1.0]]
[[1096.8076335877865], [404.0924214417746], [1.0]]
[[1096.8076335877865], [404.0924214417746], [1.0]]
[[1095.3511450381682], [404.0924214417746], [1.0]]
[[1092.4381679389314], [408.47874306839185], [1.0]]
[[1090.981679389313], [412.8650646950093], [1.0]]
[[1088.0687022900763], [412.8650646950093], [1.0]]
[[1086.612213740458], [408.47874306839185], [1.0]]
[[1082.2427480916033], [404.0924214417746], [1.0]]
[[1076.4167938931298], [404.0924214417746], [1.0]]
[[1070.5908396946568], [399.70609981515713], [1.0]]
[[1066.2213740458017], [399.70609981515713], [1.0]]
[[390.410687022901], [3211.3382624768947], [1.0]]
[[1058.9389312977098], [390.9334565619224], [1.0]]
[[1051.6564885496184], [390.9334565619224], [1.0]]
[[1047.2870229007633], [390.9334565619224], [1.0]]
[[1041.4610687022903], [390.9334565619224], [1.0]]
[[1037.0916030534352], [390.9334565619224], [1.0]]
[[1034.1786259541984], [395.31977818853966], [1.0]]
[[1031.2656488549621], [395.31977818853966], [1.0]]
[[1025.4396946564887], [395.31977818853966], [1.0]]
[[1018.1572519083971], [395.31977818853966], [1.0]]
[[1012.3312977099237], [395.31977818853966], [1.0]]
[[1005.0488549618323], [395.31977818853966], [1.0]]
[[1002.1358778625955], [395.31977818853966], [1.0]]
[[996.3099236641223], [404.0924214417746], [1.0]]
[[994.8534351145039], [399.70609981515713], [1.0]]
[[993.3969465648855], [399.70609981515713], [1.0]]
[[990.483969465649], [399.70609981515713], [1.0]]
[[989.0274809160306], [404.0924214417746], [1.0]]
[[987.5709923664123], [399.70609981515713], [1.0]]
[[986.1145038167939], [390.9334565619224], [1.0]]
[[301.5648854961834], [3237.6561922365986], [1.0]]
[[272.43511450381703], [3228.883548983364], [1.0]]
[[269.5221374045804], [3228.883548983364], [1.0]]
[[262.2396946564888], [3220.110905730129], [1.0]]
[[246.21832061068727], [3224.497227356747], [1.0]]
[[276.8045801526719], [3220.110905730129], [1.0]]
[[291.36946564885517], [3224.497227356747], [1.0]]
[[337.97709923664144], [3224.497227356747], [1.0]]
[[305.9343511450383], [3206.951940850277], [1.0]]
[[314.6732824427483], [3198.1792975970425], [1.0]]
[[287.00000000000017], [3189.4066543438075], [1.0]]
[[265.1526717557254], [3180.634011090573], [1.0]]
[[265.1526717557254], [3176.2476894639553], [1.0]]
[[269.5221374045804], [3167.475046210721], [1.0]]
[[276.8045801526719], [3158.702402957486], [1.0]]
[[256.4137404580155], [3167.475046210721], [1.0]]
[[270.97862595419866], [3158.702402957486], [1.0]]
[[269.5221374045804], [3158.702402957486], [1.0]]
[[268.06564885496203], [3149.9297597042514], [1.0]]
[[262.2396946564888], [3141.1571164510165], [1.0]]
[[270.97862595419866], [3136.770794824399], [1.0]]
[[269.5221374045804], [3132.384473197782], [1.0]]
[[262.2396946564888], [3132.384473197782], [1.0]]
[[265.1526717557254], [3132.384473197782], [1.0]]
[[265.1526717557254], [3132.384473197782], [1.0]]
[[275.34809160305366], [3132.384473197782], [1.0]]
[[288.45648854961854], [3127.9981515711643], [1.0]]
